,Timestamp,outdoor air temperature (F),humidity,windspeed,cloudcover,solar irradiance on PV panels (Watt per m^2),building total power consumption (Watts),freezer power consumption (Watts),refrigerator power consumption (Watts),refrigerator fan power consumption (Watts),west air conditioning power consumption (Watts),east air conditioning power consumption (Watts),total power consumption (Watts),Better Timestamp,date,time,month,12-hr-time
5680,2021-03-01 04:00:00,43.25,75.0,4.06,0.18,0.0,35094.20703125,3676.932861328125,3914.11328125,465.8615112304688,373.96282958984375,868.9591674804688,44394.036682128906,2021-03-01 04:00:00,2021-03-01,04:00:00,3,04:00am
5681,2021-03-01 04:15:00,43.2,75.0,4.17,0.18,0.0,35241.9296875,3700.107421875,4183.10546875,465.7335815429688,374.9020690917969,868.7357177734375,44834.5139465332,2021-03-01 04:15:00,2021-03-01,04:15:00,3,04:15am
5682,2021-03-01 04:30:00,43.19,75.0,4.32,0.17,0.0,,,,42.77083206176758,,,,2021-03-01 04:30:00,2021-03-01,04:30:00,3,04:30am
5683,2021-03-01 04:45:00,43.17,75.0,4.36,0.17,0.0,33991.703125,3696.142578125,10.60848331451416,42.18550491333008,374.3057861328125,870.4443969726562,38985.38987445831,2021-03-01 04:45:00,2021-03-01,04:45:00,3,04:45am
5684,2021-03-01 05:00:00,43.16,75.0,4.54,0.17,0.0,25811.041015625,306.3486328125,14.826541900634766,42.04494094848633,373.699951171875,871.1047973632812,27419.065879821777,2021-03-01 05:00:00,2021-03-01,05:00:00,3,05:00am
5685,2021-03-01 05:15:00,42.42,76.0,4.46,0.12,0.0,,,,,372.7201232910156,869.4188842773438,,2021-03-01 05:15:00,2021-03-01,05:15:00,3,05:15am
5686,2021-03-01 05:30:00,42.57,76.0,4.76,0.15,0.0,27869.517578125,302.7940673828125,14.91969871520996,457.86419677734375,374.1267700195313,867.0538940429688,29886.276205062866,2021-03-01 05:30:00,2021-03-01,05:30:00,3,05:30am
5687,2021-03-01 05:45:00,43.21,73.0,5.52,0.17,0.0,30712.390625,303.0010986328125,10.554569244384766,41.38199234008789,372.3276672363281,867.7011108398438,32307.357063293457,2021-03-01 05:45:00,2021-03-01,05:45:00,3,05:45am
5688,2021-03-01 06:00:00,42.75,74.0,5.29,0.19,0.0,28725.806640625,300.57623291015625,,,375.2777404785156,868.70556640625,,2021-03-01 06:00:00,2021-03-01,06:00:00,3,06:00am
5689,2021-03-01 06:15:00,42.97,73.0,5.55,0.18,0.0,29032.7265625,303.6088256835937,16.00387191772461,457.8117065429688,374.2471923828125,870.6007690429688,31054.99892807007,2021-03-01 06:15:00,2021-03-01,06:15:00,3,06:15am
5690,2021-03-01 06:30:00,43.29,72.0,5.84,0.15,0.0,33588.45703125,2345.123291015625,15.64521026611328,275.76666259765625,373.7033081054688,868.4286499023438,37467.12415313721,2021-03-01 06:30:00,2021-03-01,06:30:00,3,06:30am
5691,2021-03-01 06:45:00,43.83,70.0,5.95,0.13,0.0,31503.74609375,3594.3916015625,16.210561752319336,458.4830627441406,374.687255859375,870.6629638671875,36818.18153953552,2021-03-01 06:45:00,2021-03-01,06:45:00,3,06:45am
5692,2021-03-01 07:00:00,43.56,71.0,5.33,0.12,0.0,28218.9140625,3099.486083984375,16.03694725036621,458.1075744628906,375.4093017578125,872.4882202148438,33040.44219017029,2021-03-01 07:00:00,2021-03-01,07:00:00,3,07:00am
5693,2021-03-01 07:15:00,44.06,70.0,5.37,0.11,31.356318105902304,28128.927734375,3089.4794921875,14.812432289123535,457.7844848632813,,,,2021-03-01 07:15:00,2021-03-01,07:15:00,3,07:15am
5694,2021-03-01 07:30:00,44.73,69.0,5.44,0.11,66.78966453925904,30226.40234375,3821.080810546875,15.006997108459473,457.79498291015625,375.5052185058594,872.5501098632812,35768.34046268463,2021-03-01 07:30:00,2021-03-01,07:30:00,3,07:30am
5695,2021-03-01 07:45:00,44.87,69.0,4.9,0.12,99.79779109988812,29990.990234375,3838.49169921875,14.034543991088867,458.434814453125,375.2331237792969,875.62548828125,35552.80990409851,2021-03-01 07:45:00,2021-03-01,07:45:00,3,07:45am
5696,2021-03-01 08:00:00,45.89,68.0,4.9,0.14,135.77936916123815,,,,459.9012756347656,,,,2021-03-01 08:00:00,2021-03-01,08:00:00,3,08:00am
5697,2021-03-01 08:15:00,47.1,65.0,4.72,0.09,163.7080784605268,26990.42578125,3789.39892578125,13.767570495605469,458.4159240722656,375.38623046875,874.5315551757812,32501.925987243652,2021-03-01 08:15:00,2021-03-01,08:15:00,3,08:15am
5698,2021-03-01 08:30:00,48.87,62.0,4.46,0.15,204.80384048899023,28782.673828125,3772.0732421875,11.271692276000977,458.986572265625,375.3510437011719,880.308837890625,34280.66521644592,2021-03-01 08:30:00,2021-03-01,08:30:00,3,08:30am
5699,2021-03-01 08:45:00,50.53,60.0,4.59,0.2,244.14244355728067,,,,,,876.122802734375,,2021-03-01 08:45:00,2021-03-01,08:45:00,3,08:45am
5700,2021-03-01 09:00:00,52.01,57.99999999999999,4.54,0.23,278.0506368439701,25070.931640625,349.8944396972656,13.743108749389648,459.6180725097656,373.9532165527344,877.3406372070312,27145.481115341187,2021-03-01 09:00:00,2021-03-01,09:00:00,3,09:00am
5701,2021-03-01 09:15:00,53.36,56.00000000000001,4.77,0.24,309.9187585372848,27471.22265625,3799.146728515625,14.302419662475586,458.6278381347656,374.0884704589844,874.3638305664062,32991.75194358826,2021-03-01 09:15:00,2021-03-01,09:15:00,3,09:15am
5702,2021-03-01 09:30:00,54.62,54.0,5.38,0.22,339.45801344629274,32980.75390625,,,,374.5087585449219,872.1571044921875,,2021-03-01 09:30:00,2021-03-01,09:30:00,3,09:30am
5703,2021-03-01 09:45:00,55.68,52.0,6.15,0.2,367.5103188208227,29130.267578125,3836.453125,14.743203163146973,460.0397338867188,373.6316833496094,873.7117919921875,34688.84711551666,2021-03-01 09:45:00,2021-03-01,09:45:00,3,09:45am
5704,2021-03-01 10:00:00,56.73,51.0,6.43,0.18,386.5845962863072,27669.73046875,3997.8955078125,13.290711402893066,459.7943420410156,372.5681762695313,872.2530517578125,33385.53225803375,2021-03-01 10:00:00,2021-03-01,10:00:00,3,10:00am
5705,2021-03-01 10:15:00,57.65,50.0,6.31,0.17,400.85151149404,30186.50390625,356.1524353027344,4064.918701171875,462.7293090820313,371.7796630859375,871.4042358398438,36313.48825073242,2021-03-01 10:15:00,2021-03-01,10:15:00,3,10:15am
